item_name:string,description:text,price:float,header:string,menu_id:int
Beef Or Chicken Teriyaki,"with onions, mushrooms, hot sausage and jack cheese",6.40 ,"Eggs                                        served with two eggs, hashbrowns or rice and toast",10
Bacon Or Sausage Or Ham And Onions,"onions, mushrooms, bell peppers and tomatoes",6.55 ,"sour cream add $1.15, avocado add $1.15",10
Beef Or Chicken Teriyaki And Onions,"served with melted cheddar cheese on hashbrowns, two eggs and toast",7.00 ,"sour cream add $1.15, avocado add $1.15",10
Seafood,"imitation crab, shrimp, mushrooms and onions",6.85 ,Omeletes                                        served with hashbrowns or rice and toast,10
Bacon Or Ham Or Sausage With Cheese,"ham, mushroom, onions, bell pepper and cheese",6.25 ,Omeletes                                        served with hashbrowns or rice and toast,10
"Bacon, Avocado, Jack And Cheddar Cheese","american, cheddar, jack and swiss cheese",6.80 ,Omeletes                                        served with hashbrowns or rice and toast,10
Denver,american or cheddar or jack or swiss cheese,6.80 ,Omeletes                                        served with hashbrowns or rice and toast,10
Four Cheese,"onions, bell peppers, celery, tomatoes, hot sauce",6.65 ,Omeletes                                        served with hashbrowns or rice and toast,10
Cheese,"beef teriyaki, onions and cheese",5.20 ,Omeletes                                        served with hashbrowns or rice and toast,10
Mushroom And Cheese,"mushrooms, onions, tomatoes, bell peppers, swiss and american cheese",6.20 ,Omeletes                                        served with hashbrowns or rice and toast,10
Spanish,"with kim chee, sausage and korean hot bean paste",6.80 ,Omeletes                                        served with hashbrowns or rice and toast,10
Samurai,"with spinach, zucchini, bean sprout, carrot and swiss cheese",7.20 ,Omeletes                                        served with hashbrowns or rice and toast,10
Bagels,"chive cream cheese, sundried tomato cream cheese, jalapeno cream cheese, or hummus",9.95 ,Breakfast                                        served until 12 pm weekdays and 1PM on weekends,11
Trout Bagel,"with smoked trout, cream cheese, tomato & pickled red onion",10.45 ,Breakfast                                        served until 12 pm weekdays and 1PM on weekends,11
House Salad,"seasonal lettuces with cherry tomatoes, red onions and shallot red wine vinaigrette",7.65 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Beet Salad,"roasted beets with seasonal lettuces, feta, pickled red onions, toasted pecans, ginger vinaigrette",9.75 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Chicken Goddess Salad,"with chicken breast, avocado, goat cheese, and watercress green goddess dressing",13.95 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Atlas Salad,"seasonal lettuces with feta, dried figs, kalamata olives, cucumbers, cherry tomatoes and shallot red wine vinaigrette",12.00 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Tuna Salad,"Tongol tuna with currants, herbs and epazote on seasonal lettuces with granny smith apples and shallot red wine vinaigrette",12.95 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Smoked Trout Salad,"smoked trout with seasonal lettuces, red onions, toasted pecans and roasted garlic blue cheese dressing",13.95 ,"Salads                                        Add tofu, feta, goat or blue cheese to any salad for $2.50; Add roasted turkey breast, roasted chicken breast, applewood bacon or ham to any salad $3.50, Add smoked trout $4.50",11
Pepperoni Pizza,"with artisan pepperoni, sage tomato sauce, and mozzarella",11.75 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Pineapple Pepperoni Pizza,"pepperoni, fresh pineapple, cilantro jalapeno pesto and mozzarella",11.75 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Apples and Goat Cheese Pizza,"with pickled apples, mozzarella, sage tomato sauce and fresh basil",10.75 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Spicy Chicken Pizza,"with roasted chicken breast, red onion, feta, mozzarella and cilantro jalapeno pesto (contains pine nuts)",11.75 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
No Cheese Pizza,"with sage tomato sauce, yams, beets, tofu and avocado",10.50 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Prosciutto Pizza,"with prosciutto, pesto sauce, mozzarella, goat cheese, red onions and arugula dressed with shallot red wine vinaigrette",11.25 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Atlas Pizza,Choose your sauce: sage tomato sauce - basil pesto - cilantro jalapeno pesto (contains pine nuts),8.25 ,"Add red onions, roasted scallions, kalamata olives, arugula, yams or beets $1; Add baked tofu, feta, goat or blue cheese $2.50; Add pepperoni, prosciutto, ham, roasted chicken breast, roasted turkey breast $3.50, Add smoked trout $4.50",11
Roast Beef,"with horseradish-dijon mayo, cheddar (gouda?) on a soft pretzel roll",10.00 ,Sandwiches,11
Grilled Cuban Beef Sandwich,"with roast beef on filone with sage tomato sauce, pepper jack, roasted scallions, shallot red wine vinaigrette",11.00 ,Sandwiches,11
Roasted Turkey Breast,"on toasted Napa baguette with fig chile chutney, red onions and cheddar cheese",11.00 ,Sandwiches,11
Roasted Chicken Breast,"on rosemary roll with blue cheese dressing, house made mayonnaise, pickled red onions, swiss chard, toasted pecans",11.00 ,Sandwiches,11
Roast Pork,"with prosciutto, emmentaler cheese, dijon mustard and fennel pickles pressed on a soft filone roll",11.50 ,Sandwiches,11
Smoked Ham,"on toasted soft filone with basil pesto, provolone, arugula, tomato and shallot red wine vinaigrette",11.00 ,Sandwiches,11
"Turkey, Avocado and Bacon","on toasted multigrain miche with melted gouda, arugula and house made mayonnaise",12.95 ,Sandwiches,11
Smoked Trout,"on toasted multigrain bread with fig chile chutney, arugula and sesame dressing",12.95 ,Sandwiches,11
Tuna Melt,Tongol tuna with currants and epazote on multigrain miche with holland gouda and citrus mayonnaise,11.00 ,Sandwiches,11
New Roasted Yam,"on toasted Napa Valley baguette with crunchy beet relish, garlic olive oil, feta cheese, cilantro, tomatoes, and pickled red onions",10.50 ,Sandwiches,11
Baked Tofu,"on toasted multigrain bread with chard, tomato, pickled red onion and ginger tofu vinaigrette",10.50 ,Sandwiches,11
Golden Beetloaf,"Contains cashews, pine nuts and sunflower seeds",11.50 ,Sandwiches,11
Apples and Cheese,"grilled on multigrain miche with pickled apples, sharp cheddar, holland gouda and arugula",9.75 ,Sandwiches,11
Grilled Cheese,on multigrain miche with cheddar and gouda cheeses,8.25 ,Sandwiches,11
Hummus Platter,"hummus with tomatoes, cucumbers, red onions, feta and warm pita bread",10.50 ,Snacks,11
Cheese Board,"cheddar, Holland gouda and goat cheese served with fig chile chutney, fennel pickles and garlic crostini",10.50 ,Snacks,11
Coffee,made to order,3.00 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
French Press,all espresso shots are doubles,3.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Espresso,"espresso, turmeric, coconut, ginger and maple",4.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Caffe Americano,"handmade, spicy and lightly sweet",3.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Espresso Macchiato,"black, herbal or green",3.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Cappuccino,"stubbies, cartons, and nitro cans available",3.50 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Caffe Latte,black or herbal,4.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Golden Latte,ginger lemonade with iced tea,4.75 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Moka,on tap,5.25 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Hot Chocolate,Pilsner Beer with ginger lemonade,6.00 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Extra Shot,with brut rosé and fresh OJ,6.50 ,"Local Beers on draft and in bottles and cans; See our selection of red, white, and sparkling wines",11
Pan Bagnat,"Olive Oil Poached Tuna, Gribiche Sauce (hard boiled eggs, capers, shallots, lemon and fine herbs), Fennel and Cabbage Slaw",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
"Wild Mushroom, Goat Cheese and Braised Leeks","Wild Mushroom Ragout (crimini/button/shitake mushrooms, garlic, parsley)",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Ratatouille,"Stewed Tomato, Eggplant, Zucchini, Bell Pepper, Onion, Garlic, Herb de Provence and Swiss Cheese",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Roasted Chicken and Anchovy,"Shredded Roasted Chicken, Anchovy Aïoli, Watercress, Red Onion, Parmesan",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Black Forest Ham and Cheese,"Black Forest Ham, Gruyere, Smoked Mozzarella and Swiss Cheese with Fleur De Sel",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Reuben,"Pastrami,Sauerkraut, Russian Dressing and Swiss Cheese",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Flammenkche,"Caramelized Onions, Red Onion, Fromage Blanc, Gruyère Cheese and Lardons",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Muffulleta,"Black Forest Ham, Genovese Salami, Mortadella, Provolone and Olive Spread",10.50 ,Tartines                                        All sandwiches are served with a house salad,12
Oxtail Beef Stew Noodle Soup,Shrimps marinated in house sauce and grilled on skewers.,18.99 ,Chef's Recommendations,13
House Marinade Grilled Shrimps,Served with fresh vegetables and side of fish sauce for dipping.,14.99 ,Chef's Recommendations,13
Fried Egg Rolls (Imperial Rolls),Vegetarian. Served with fresh vegetables and side of soy-based house sauce for dipping.,12.25 ,Chef's Recommendations,13
Vegetarian Fried Egg Rolls (Imperial Rolls),Served with side of salt & pepper and slice of lime/lemon. Squeeze lime juice on the salt/pepper to make dipping paste for the quail.,12.25 ,Chef's Recommendations,13
Five Spiced Quail,"Savory mini pancakes made from wheat flour, mung bean, coconut milk, topped with shrimp, and served with fish sauce and fresh vegetables.",15.50 ,Chef's Recommendations,13
Vietnamese Savory Mini Shrimp Pancakes (Banh Khot),"One of the most popular dishes from Hue - pork bone spicy broth noodle soup topped with pork, tendon, brisket, and Vietnamese ham.",14.99 ,Chef's Recommendations,13
Vermicelli with Grilled Pork and Fried Egg Rolls,"Most famous noodle soup from Bac Lieu province - fish broth noodle soup topped with shrimp, fish, calamari, and pork.",16.99 ,Chef's Recommendations,13
Tomato Crab Paste and Pork Noodle Soup (Bun Riu),Curry spicy level cannot be adjusted.,16.99 ,Chef's Recommendations,13
Hue Spicy Noodle Soup (Bun bo Hu) - SPICY,Curry spicy level cannot be adjusted.,16.99 ,Chef's Recommendations,13
Bac Lieu Noodle Soup (Bun Mm),Curry spicy level cannot be adjusted. White rice only.,16.99 ,Chef's Recommendations,13
Vermicelli with Vietnamese Yellow Curry (SPICY),Curry spicy level cannot be adjusted. White rice only.,16.99 ,Chef's Recommendations,13
Vermicelli in Vietnamese Yellow Curry with Fried Tofu (SPICY),"DIY: break the large lettuce leaf in half, lay it on your palm, unroll a sheet of rice noodle and lay it on top of the lettuce, add chicken without skewer, cucumber, mint, housemade pickled carrots, roll up the lettuce leaf with everything inside, and dip in fish sauce.",14.99 ,Chef's Recommendations,13
Vietnamese Yellow Curry and Rice (SPICY),"DIY: break the large lettuce leaf in half, lay it on your palm, unroll a sheet of rice noodle and lay it on top of the lettuce, add shrimp paste without skewer, cucumber, mint, housemade pickled carrots, roll up the lettuce leaf with everything inside, and dip in fish sauce.",14.99 ,Chef's Recommendations,13
Vietnamese Yellow Curry with Fried Tofu & Rice (SPICY),"Grilled pork chop, shrimp paste in tofu skin, grilled shrimp sugarcane skewers, chicken skewer, fried egg roll, steam egg cake, and shredded pork.",13.99 ,Chef's Recommendations,13
Woven Rice Noodle Sheets and Grilled Chicken Skewers,"Grilled pork, shrimp paste in tofu skin, chicken skewer, fried egg, and shredded pork",20.99 ,Chef's Recommendations,13
Woven Rice Noodle Sheets and Grilled Shrimp Paste,"Noodle and broth packaged separately. Side of basil, bean sprout, lime, jalapeno, and hoisin sauce.",20.99 ,Chef's Recommendations,13
Special 7 Combo Rice Platter,"Broth made from vegetables - topped with broccoli, carrots, bok choy, and tofu.",25.99 ,Chef's Recommendations,13
Special 5 Combo Rice Platter,"Angus-certified rare beef, brisket, flank, tendon, tripe, beefballs, and egg.",21.99 ,Chef's Recommendations,13
Fried Egg Rolls (Imperial Rolls),"Choice of grilled pork meatball, grilled chicken, or grilled pork.",12.25 ,Appetizers,13
Shrimp Spring Rolls,Choice of shrimps or chicken.,11.75 ,Appetizers,13
Spring Rolls,Marinated then deep fried quails,12.25 ,Appetizers,13
Papaya Salad,"Choice of pork, chicken, beef, or shrimp.",13.99 ,Appetizers,13
Firecracker Shrimp,"Savory mini pancakes with wheat flour, topped with shrimps - served with fresh vegetables and fish sauce.",12.99 ,Appetizers,13
Fried Calamari,Shrimps marinated in house sauce and grilled on skewers.,12.99 ,Appetizers,13
Vermicelli with Five Spiced Chicken,Spicy.,16.99 ,Vermicelli and Noodle Soup,13
Vermicelli with Fried Egg Rolls,"Fish broth noodle soup (rice noodle) topped with pork, shrimp, fish, and calamari.",16.99 ,Vermicelli and Noodle Soup,13
Vermicelli with Grilled Pork,Spicy.,16.99 ,Vermicelli and Noodle Soup,13
Special 7 Combo Rice Platter,"Pork chop, shrimp paste in tofu skin, grilled shrimp sugarcane skewers, chickenskewer, fried egg roll, egg cake, shredded pork.",26.99 ,Rice Platter,13
Special 5 Combo Rice Platter,"Grilled pork, shrimp paste in tofu skin, chicken skewer, fried egg, shredded pork.",21.99 ,Rice Platter,13
Rice Platter with 5 Spiced Chicken,Spicy.,15.99 ,Rice Platter,13
Pho with Rare Beef,"Rare beef, well-done brisket, flank, tendon, and tripe.",14.99 ,Pho,13
Pho with Rare Beef and Beefballs,"Rare beef, brisket, flank, tendon, tripe, beefballs, and egg.",14.99 ,Pho,13
Vegetarian Fried Egg Rolls (Imperial Rolls),No egg.,12.25 ,Vegetarian,13
Vegetarian Spring Rolls,"Savory crispy crepe filled with fried tofu, bean sprout, onion - served with fresh vegetables and soy dipping sauce.",11.75 ,Vegetarian,13
Kid's Pho,Select beef pho or chicken pho.,8.00 ,Sides,13
Fried Egg Roll,Single.,4.00 ,Sides,13
Fried Egg,Broth cooked from vegetables (vegan).,2.25 ,Sides,13
Beefballs,Broth cooked from vegetables (vegan).,5.75 ,Sides,13
Vietnamese Iced Milk Coffee,Made in house.,6.00 ,Drinks,13
Soy Milk,"Choice of Coke, Diet Coke, 7up, Sprite or Sunkist",6.00 ,Drinks,13
Caesar Salad,"Parmesan cheese, garlic croutons.",10.50 ,Popular Items,14
Baby Kale Salad,"Persimmon, avocado, goat cheese, pepitas, and pomegranate vinaigrette.",13.65 ,Popular Items,14
Stuffed Sweet Peppers,"Chorizo, red onions, fromage blanc, and avocado salsa.",10.00 ,Popular Items,14
Balburrito,"Scrambled eggs, chorizo, black beans, fresh pico de gallo, jack cheese and avocado salsa.",14.70 ,Popular Items,14
Pan Seared American Red Snapper,"Saffron jasmine rice, sumac, and veracruz sauce.",28.90 ,Popular Items,14
Single Scoop (1 flavor),One Large Scoop Of Your Favorite Flavor,4.75 ,Single Scoop,15
Double Scoop (2 Flavors Max),Two Large Scoops Of Your Favorite Flavors,6.25 ,Double Scoop,15
Pint (16oz - 1 flavor),16oz - Hand-packed Pint Of Your Favorite Flavor,9.00 ,Pint,15
Quart (32oz - 2 Flavors Max),32oz - Hand-packed Quart of Your Favorite Flavors,12.75 ,Quart,15
Mangonadas,"Mango Sorbet, real diced mangos, chamoy mild sauce, tajin powder, fresh squeezed lime juice and topped with a tamarind straw.",9.75 ,Mangonadas,15
Iced Pomegranate Fruit Tea,Pomegranate with organic jasmine green tea and fresh strawberry puree shaken over ice,7.00 ,Iced Fruit Teas,15
Iced Passion Fruit Tea,Passion Fruit with organic jasmine green tea and fresh strawberry puree shaken over ice,7.00 ,Iced Fruit Teas,15
Iced Hibiscus (Roselle) Fruit Tea,"Hibiscus with organic jasmine green tea, edible red rose petals and fresh strawberry puree shaken over ice",7.00 ,Iced Fruit Teas,15
Iced Blueberry Fruit Tea,Blueberry with Organic Assam Black tea and fresh blueberry puree shaken over ice,7.00 ,Iced Fruit Teas,15
Iced Lychee Fruit Tea,"Lychee with Organic Jasmine Green Tea, fresh strawberry puree and shredded coconut shaken over ice",7.00 ,Iced Fruit Teas,15
Yellow Smoothie,Add-ons options are available for an additional charge.,9.00 ,Balboa Smoothies,15
Orange Smoothie,Add-ons options are available for an additional charge.,9.00 ,Balboa Smoothies,15
Red Smoothie,Add-ons options are available for an additional charge.,9.00 ,Balboa Smoothies,15
Green Smoothie,Add-ons options are available for an additional charge.,9.00 ,Balboa Smoothies,15
Orange Juice,Freshly squeezed orange juice,7.00 ,Natural Juices,15
Orange and Carrot Juice,Freshly squeezed orange and carrot juice,7.00 ,Natural Juices,15
Watermelon Juice,Real Watermelon Juice made with fresh watermelon,7.00 ,Natural Juices,15
Pineapple Juice,Real Pineapple Juice made with fresh pineapple,7.00 ,Natural Juices,15
Grapefruit Juice,Freshly squeezed grapefruit juice,8.50 ,Natural Juices,15
Green Juice,"Spinach, Celery, Green Apples and Freshly squeezed orange juice",8.50 ,Natural Juices,15
Yogurt Parfait,"Vanilla Yogurt, Fresh strawberries, granola and sliced almonds",6.50 ,Fruits & Parfaits,15
Mix Seasonal Fruits,24oz cup of fresh mix seasonal fruits,7.00 ,Fruits & Parfaits,15
Pineapple Fruit Cup,24oz cup of freshly chopped pineapple,7.00 ,Fruits & Parfaits,15
Watermelon Fruit Cup,24oz cup of freshly chopped watermelon,7.00 ,Fruits & Parfaits,15
Cantaloupe Fruit Cup,24oz cup of freshly chopped cantaloupe,7.00 ,Fruits & Parfaits,15
Mango Fruit Cup,24oz cup of freshly chopped mango,7.00 ,Fruits & Parfaits,15
Mexican Fruit Cup,"24oz cup of freshly chopped Mango, Jicama, Watermelon, Pineapple, Salt, Lime and Tajin",9.00 ,Fruits & Parfaits,15
Perrier,Mineral Water 11.15 Fl oz,3.00 ,Cold Drinks,15
Apple Juice,Martinellis Apple Juice 10 Fl oz,3.00 ,Cold Drinks,15
Fiji,All Natural Artesian Water from the Island of Fiji 16.9 Fl oz,2.75 ,Cold Drinks,15
Red Bull,12 of oz energy drink,4.50 ,Cold Drinks,15
RockStar Original,Crystal Geyser alpine spring water 16.9 fl oz,3.75 ,Cold Drinks,15
Water,20 Fl oz,1.50 ,Cold Drinks,15
Can Soda,All Natural Snapple flavor juice drink,1.50 ,Cold Drinks,15
RockStar Sugar Free,Munster Energy Drink,3.75 ,Cold Drinks,15
Spiced Almonds,tomato - basil - mozzarella,6.00 ,SALUMI E CHARCUTERIA,16
Marinated Olives,goat cheese - greens,6.00 ,SALUMI E CHARCUTERIA,16
Bruschetta,strawberry - balsamic onion,6.00 ,SALUMI E CHARCUTERIA,16
Roasted Beets Crostino,selection of all three crostino,6.00 ,SALUMI E CHARCUTERIA,16
Italia,proscuitto di san daniele - coppa piccante - finocchiona - mortadella - sopressata - 'nduja - house made giardiniera,30.00 ,ANTIPASTI,16
Cheese Plate,gorgonzola with honey - molterno with cherry conserva - taleggio with raisin,29.00 ,ANTIPASTI,16
Little Gem Caesar Salad,levian croutons - parmigiano reggiano - anchovy,15.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Baby Mixed Lettuce,cucumber - carrot - cherry tomatoes,14.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Persimmon & Apple Salad,arugula - frisee - goat cheese - toasted walnuts - balsamic condimento,16.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Burrata Cheese,roasted and marinated butternut squash - raisins - onion - sherry vinaigrette - filone bread,18.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Octopus alla Plancha,potatoes - piementon - charred lemon,18.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Strawberry Salad,arugula - parmigiano reggiano - hazelnuts - aged balsamic vinaigrette,16.00 ,Sandwiches                                        served on acme bread or on mariposa gluten free roll,16
Fried Chicken Sandwich,truffle honey aioli - shaved cabbage salad,16.00 ,Pastas,16
Prosciutto Cotto,heirloom tomato - mozzarella - basil aioli,16.00 ,Pastas,16
Eggplant Sandwich,open face levain bread sandwich - roasted piquillo pepper and squash - lemon aioli - scamorza cheese,16.00 ,Pastas,16
Orecchiette,spicy fennel pork sausage - cavolo nero - pecorino romano,21.00 ,Mains,16
Fettuccine,classic meat ragu from bologna - parmigiano reggiano,21.00 ,Mains,16
Spaghetti,squid ink pasta strands - mussels - garlic - white wine - parsley - calabrian chili,23.00 ,Mains,16
Corn Fusilli,basil pesto - cherry tomatoes - pecorino,21.00 ,Mains,16
Bucatini all'amatriciana,tomato sugo with guancile - calabrian chili - onions - garlic - pecorino romano,20.00 ,Mains,16
Spicy Sicilian Pork Meatballs,pine nuts - raisins - tomato sugo - braised chard,21.00 ,Sides,16
Butcher Salad,salami - mozzarella - romaine lettuce - giardiniera vinaigrette,20.00 ,Sides,16
Lemon Marinated Albacore Tuna Salad,white beans and green beans - roasted peppers - arugula - lemon aioli - fried capers,20.00 ,Sides,16
Local Fish Alla Piastra,daily preparation,29.00 ,Sides,16
Fried Brussels Sprouts,anchovy - chili - capers,8.00 ,,16
Fried Shishito Peppers,sea salt,8.00 ,,16
Hot Chai Milk Tea,Made with Fresh Fruit,5.75 ,BB Tea Recommended Drinks,17
Super Fruit Tea,Made with fresh Fruit,6.00 ,BB Tea Recommended Drinks,17
Strawberry Swirl,Handcrafted Creme brulee milk tea,5.25 ,BB Tea Recommended Drinks,17
Creme Brulee Milk Tea,This drink is a great combination of taste.,5.25 ,BB Tea Recommended Drinks,17
Salted Cheese Tea,Hand Crafted Tea,5.25 ,BB Tea Recommended Drinks,17
Organic Matcha Matcha,No adjustments.,5.25 ,Matcha,17
Strawberry Matcha Latte,No adjustments.,5.25 ,Matcha,17
Mango Matcha,No adjustments.,5.25 ,Matcha,17
Yogurt,Smoothie,5.75 ,Yogurt Drink,17
Iced Milk,Made with Pasteurized Milk,5.25 ,BB Iced Milk Drink,17
Snow Iced,Ice Slush,5.25 ,Flavored Snow Ice,17
Matcha Flavor Milk Drink,Fresh Milk,4.50 ,Flavored Milk Drink,17
Iced Coffee,fappuccino,5.25 ,Iced Coffee,17
Fresh Green Tea,Hand Brewed Fresh Tea,4.25 ,Fresh Tea,17
Black Tea,Fresh Brewed,5.75 ,Hot Drinks,17
Pecan Pancakes,"Strawberry butter, vanilla and mascarpone cream and syrup.",12.99 ,Breakfast,18
Banana Pancakes,"Pears, pecans, vanilla and mascarpone cream and syrup.",12.99 ,Breakfast,18
Buttermilk Pancakes,"Organic Greek yogurt, granola, seasonal fruits and honey.",11.99 ,Breakfast,18
Brioche French Toast,Oatmeal and pears.,15.99 ,Breakfast,18
Yogurt Parfait,Served with choice of side.,10.99 ,Breakfast,18
Steel Cut Oatmeal,Served with choice of side.,8.99 ,Breakfast,18
Spinach and Eggs Breakfast Sandwich,Served with mixed greens and salsa on the side.,12.99 ,Breakfast,18
Eggs and Cheese Sandwich,Served with choice of side.,14.99 ,Breakfast,18
Breakfast Burrito,Served with choice of side.,1.99 ,Breakfast,18
Big Joe's Burrito,Served with a side and toast.,13.99 ,Breakfast,18
Big Joe's Veggie Burrito,Seasonal veggies and 2 poached eggs served with a side and toast.,13.50 ,Breakfast,18
2 Eggs Any Style,Served with choice of side.,14.99 ,Breakfast,18
Veggie Hash and Eggs,"Braised leeks, caramelized yellow onions, oven dried cherry tomatoes, bacon, Swiss cheese, one egg, served with a side.",14.99 ,Breakfast,18
Eggs Benedict,Served with choice of side.,16.99 ,Breakfast,18
Smoked Salmon Scramble,"Smoked salmon, spinach and cream cheese.",16.99 ,Scrambles,18
Vegetarian Scramble,"Mushrooms, tomatoes, onions and Brussels sprouts.",14.99 ,Scrambles,18
Americano Scramble,"Bacon, cheddar cheese and caramelized onions.",15.99 ,Scrambles,18
Ground Beef,"Ground Beef, Cheedar Cheese, Onions, Mushrooms, Pesto",16.99 ,Scrambles,18
Ham,"Ham, Red Bell Peper, Onions, Cheedar Cheese",15.99 ,Scrambles,18
Turkey Spanish Omelette,"Turkey, spinach, sauteed yellow onions and fresh mozzarella.",17.99 ,Omelettes,18
Spanish Omelette,Served with mixed greens.,17.99 ,Omelettes,18
Chicken and Pesto Omelette,"Chicken, spinach, mushrooms and Monterey Jack cheese.",17.99 ,Omelettes,18
Meat Lovers Omelette,"Bacon, ham, sausage and cheddar cheese.",18.99 ,Omelettes,18
Onions & mushroons Meat lover's Omelette,"Onions, Mushroons, Bacon, Ham, Sausage",19.99 ,Omelettes,18
Caesar Salad,"Romaine lettuce, homemade Caesar dressing, croutons and parmesan cheese.",9.00 ,Salad,18
House Salad,Add chicken or tuna for an additional charge.,10.99 ,Salad,18
Add Chicken,Tuna,4.99 ,Salad,18
Add Tuna,Bacon,4.59 ,Salad,18
Triple Grilled Cheese Sandwich,"Cheddar, pepper jack and Monterey cheeses on sliced sourdough.",12.99 ,Hot Sandwiches,18
Turkey Bacon Melt Sandwich,"Turkey, applewood smoked bacon, avocado and Monterey Jack cheese on sliced sourdough.",14.99 ,Hot Sandwiches,18
Albacore Tuna Melt Sandwich,Roasted tomatoes and cheddar cheese on sliced sourdough.,14.99 ,Hot Sandwiches,18
Pastrami and Fondue Sandwich,"Hot pastrami, sauteed onions and cheese fondue on ciabatta bread.",14.99 ,Hot Sandwiches,18
Veggie Sandwich,"Grilled mushrooms, pesto sauce, sauteed red peppers, onions, fresh mozzarella and aioli on ciabatta bread.",12.99 ,Hot Sandwiches,18
Steak Sandwich,"Chopped steak, sauteed mushrooms, onions, red peppers and melted Monterey cheese on ciabatta bread.",15.99 ,Hot Sandwiches,18
Grilled Chicken Breast Sandwich,"Seasoned grilled chicken breast, lettuce, tomato and aioli on ciabatta bread.",14.99 ,Hot Sandwiches,18
Fried Chicken Breast Sandwich,"Hand battered chicken with Granny Smith apples, lettuce, tomatoes and aioli on ciabatta bread.",15.99 ,Hot Sandwiches,18
Niman Ranch Burger,"burger with butter lettuce, tomatoes, onions and aioli.",13.99 ,Hot Sandwiches,18
Monterey Burger,"burger with bacon, sauteed mushrooms, Monterey cheese, lettuce, tomatoes, onions",16.99 ,Hot Sandwiches,18
Big Joe's Bacon Cheese Burger,"burger with bacon in the meat, cheddar cheese, bacon, lettuce, tomato, onions",16.99 ,Hot Sandwiches,18
